epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,714.807,1.16779,1.23679,1.11777,0.74684,0.62745,0.80088,0.53152,1.15014,1.79178,1.0236,0.000638821,0.000638821,0.000638821
30,741.094,1.13573,1.24112,1.13036,0.75863,0.77664,0.84545,0.57955,1.12144,1.64169,1.02776,0.00063173,0.00063173,0.00063173
31,768.118,1.16874,1.28148,1.17525,0.78848,0.84544,0.9262,0.62743,1.09751,1.43973,1.01819,0.000622658,0.000622658,0.000622658
32,794.928,1.10446,1.19284,1.08659,0.91078,0.82843,0.9507,0.65645,1.09471,1.33616,1.00155,0.000611606,0.000611606,0.000611606
33,821.824,1.15729,1.16867,1.11352,0.91078,0.82843,0.9507,0.65645,1.09471,1.33616,1.00155,0.000598573,0.000598573,0.000598573
34,847.425,1.21493,1.25749,1.12226,0.85684,0.80737,0.92943,0.65458,1.09387,1.29351,1.00247,0.000577782,0.000577782,0.000577782
35,874.402,1.16225,1.31416,1.14976,0.76768,0.9281,0.93134,0.64039,1.06183,1.36454,1.00546,0.000544776,0.000544776,0.000544776
36,900.72,1.13198,1.11317,1.05616,0.7837,0.78431,0.90746,0.62346,1.0574,1.37304,0.99905,0.000511769,0.000511769,0.000511769
37,927.083,1.10453,1.10389,1.05182,0.7837,0.78431,0.90746,0.62346,1.0574,1.37304,0.99905,0.000478762,0.000478762,0.000478762
38,953.674,1.15075,1.17902,1.12275,0.7761,0.83409,0.91641,0.646,1.00262,1.35302,0.98994,0.000445756,0.000445756,0.000445756
39,982.639,1.08568,1.12469,1.07154,0.8069,0.94281,0.93743,0.67566,0.97486,1.33794,0.99023,0.000412749,0.000412749,0.000412749
40,1008.1,1.10803,1.15564,1.09739,0.84771,0.93571,0.94995,0.69428,0.98533,1.34443,0.99106,0.000379743,0.000379743,0.000379743
41,1033.03,0.88525,0.98924,0.99159,0.84771,0.93571,0.94995,0.69428,0.98533,1.34443,0.99106,0.000346736,0.000346736,0.000346736
42,1059.04,0.91742,1.03435,1.02789,0.89539,0.94422,0.9493,0.69411,1.02429,1.3062,1.0016,0.000313729,0.000313729,0.000313729
43,1084.3,0.96405,1.1383,1.05498,0.88534,0.94281,0.94967,0.67696,1.04527,1.26654,1.01977,0.000280723,0.000280723,0.000280723
44,1109.53,0.873,0.95327,0.97859,0.90403,0.9517,0.9552,0.67743,1.02976,1.21541,1.02238,0.000247716,0.000247716,0.000247716
45,1134.7,0.89182,0.97509,1.01304,0.90403,0.9517,0.9552,0.67743,1.02976,1.21541,1.02238,0.00021471,0.00021471,0.00021471
46,1160.12,0.87923,0.96558,1.02228,0.92178,0.95752,0.95958,0.68552,1.01251,1.17863,1.02208,0.000181703,0.000181703,0.000181703
47,1185.41,0.85972,0.99951,0.97756,0.94081,0.95046,0.96189,0.70095,0.99205,1.15414,1.01085,0.000148696,0.000148696,0.000148696
48,1210.66,0.87734,0.99223,0.98647,0.94313,0.94861,0.9631,0.70664,0.99252,1.12897,1.00851,0.00011569,0.00011569,0.00011569
49,1235.85,0.82621,0.94567,0.98124,0.94313,0.94861,0.9631,0.70664,0.99252,1.12897,1.00851,8.26832e-05,8.26832e-05,8.26832e-05
50,1260.75,0.88275,0.9368,0.97553,0.94259,0.93924,0.96683,0.72314,0.98719,1.10212,1.00854,4.96766e-05,4.96766e-05,4.96766e-05
