epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8186,1.76916,3.44463,1.52792,0.01017,0.69935,0.15314,0.08392,1.6243,3.23384,1.32833,3.334e-05,3.334e-05,3.334e-05
2,43.0873,1.52704,3.29557,1.41554,0.01325,0.94118,0.3446,0.20192,1.21909,3.08563,1.11957,8.16997e-05,8.16997e-05,8.16997e-05
3,62.9772,1.36643,2.96537,1.32568,0.01368,0.97059,0.43375,0.28593,1.04396,3.00003,1.00745,0.000128079,0.000128079,0.000128079
4,80.6173,1.35655,2.67252,1.23609,0.01389,0.98529,0.46295,0.25596,0.99045,2.88802,1.0202,0.000172478,0.000172478,0.000172478
5,97.8726,1.3605,2.1396,1.21257,0.55399,0.37457,0.55527,0.35783,1.08684,2.6082,1.00348,0.000214896,0.000214896,0.000214896
6,115.247,1.38012,1.92907,1.19699,0.81979,0.23529,0.56637,0.37304,1.07341,2.43542,1.00568,0.000255334,0.000255334,0.000255334
7,140.806,1.27518,1.85205,1.17852,0.51372,0.2669,0.5461,0.35761,1.09694,2.37311,1.00394,0.000293792,0.000293792,0.000293792
8,169.104,1.22482,1.76069,1.10549,0.55465,0.20377,0.51447,0.34195,1.09273,2.43705,1.00386,0.000330269,0.000330269,0.000330269
9,196.007,1.19543,1.66122,1.11959,0.39881,0.87484,0.55973,0.329,1.16061,2.52286,1.00077,0.000364766,0.000364766,0.000364766
10,222.91,1.33703,1.73635,1.22963,0.01506,1,0.56058,0.33098,1.1427,2.50953,0.99287,0.000397283,0.000397283,0.000397283
11,249.68,1.2245,1.66799,1.13258,0.50085,0.77646,0.63524,0.39244,1.12258,2.41762,0.9768,0.000427819,0.000427819,0.000427819
12,276.785,1.23518,1.61898,1.12218,0.51999,0.81373,0.66656,0.40985,1.10146,2.39213,0.98733,0.000456375,0.000456375,0.000456375
13,303.757,1.15515,1.51322,1.10258,0.48881,0.30337,0.63003,0.39224,1.16684,2.29373,1.02309,0.00048295,0.00048295,0.00048295
14,329.579,1.23961,1.78332,1.19122,0.64043,0.43115,0.68099,0.45377,1.06287,2.18017,1.00229,0.000507545,0.000507545,0.000507545
15,357.251,1.23035,1.51654,1.13359,0.66183,0.54013,0.74278,0.50224,1.02641,2.13883,0.99217,0.000530159,0.000530159,0.000530159
16,383.666,1.23622,1.59204,1.14037,0.76314,0.56863,0.74455,0.50115,1.06847,2.13589,1.01265,0.000550793,0.000550793,0.000550793
17,401.85,1.14466,1.46401,1.10701,0.7941,0.48904,0.72462,0.4575,1.09555,2.2016,1.01874,0.000569447,0.000569447,0.000569447
18,425.993,1.19015,1.46184,1.10809,0.86562,0.46578,0.74908,0.52285,1.11235,2.1688,1.01898,0.000586121,0.000586121,0.000586121
19,451.569,1.18653,1.48731,1.10975,0.76612,0.50148,0.75256,0.53769,1.06716,2.14478,1.00898,0.000600813,0.000600813,0.000600813
20,477.433,1.17944,1.32313,1.07841,0.75624,0.46948,0.74366,0.52261,1.08519,2.14859,1.03372,0.000613526,0.000613526,0.000613526
21,503.984,1.14541,1.35678,1.10222,0.80978,0.60017,0.80732,0.54582,1.06381,2.12268,1.05064,0.000624258,0.000624258,0.000624258
22,530.089,1.12278,1.24616,1.11796,0.81217,0.6833,0.83238,0.53512,1.10582,2.08311,1.05922,0.00063301,0.00063301,0.00063301
23,555.936,1.25454,1.26933,1.10023,0.80827,0.59836,0.81605,0.5118,1.2004,2.08396,1.07946,0.000639781,0.000639781,0.000639781
24,581.735,1.24973,1.42086,1.17658,0.81686,0.55884,0.77816,0.4959,1.14472,2.09873,1.05806,0.000644572,0.000644572,0.000644572
25,608.791,1.09882,1.31707,1.09166,0.73859,0.57644,0.76068,0.49684,1.15038,2.03579,1.05569,0.000647383,0.000647383,0.000647383
26,635.831,1.17959,1.39005,1.16053,0.73917,0.60772,0.78796,0.53438,1.13756,1.92967,1.04331,0.000648213,0.000648213,0.000648213
27,661.856,1.19841,1.287,1.13151,0.75749,0.61438,0.79952,0.56032,1.08054,1.83995,1.0133,0.000647063,0.000647063,0.000647063
28,688.542,1.20926,1.37062,1.12205,0.74684,0.62745,0.80088,0.53152,1.15014,1.79178,1.0236,0.000643932,0.000643932,0.000643932
